response,ground_truth
YES,Yes
C,A.
B,A.
Miami Beach to Flagler Beach FL,None
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under TS and Hurricane warning are:

Cape Hatteras to Ponte Vedra Beach, Florida",None
"25.5N, 83.8W","25.6N, 94.4W"
WNW,N
25,16 mph
Florida,coasts of southeast and central Louisiana and coastal Mississippi
NEW ORLEANS LA,NEW ORLEANS LA
10%,6%
4%,<1%
20,18
N/A,
X,6%
D,D.
Northern Gulf coast,coasts of southeast and central Louisiana and coastal Mississippi
B. Tropical Storm,A.
"B. Tampa Port Authority, FL",A.
Florida,coasts of southeast and central Louisiana and coastal Mississippi
12,12
60,24
B,D.
C. 13-24 hours,B.
D,B.
Yes,No
B,B.
24,12
B,B.
C,D.
C,C.
Isabel,Isolated tornadoes possible Friday night through Saturday morning
"{
  ""gale_probability"": {
    ""in 12h"": 10,
    ""in 24h"": 17,
    ""in 48h"": 22,
    ""in 72h"": 19,
    ""in 96h"": X
  }
}","{'in 12h': '0%', 'in 24h': '6%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
27-10-2019,None
26-10-2019,None
25-10-2019,None
2,0
0,None
10,None
D,A.
