response,ground_truth
No,Yes
No,Yes
No,Yes
No,No
No,No
A,A.
A,A.
B,A.
B,A.
A,B.
A,B.
A,B.
B,B.
A,A.
A,A.
Mississippi to Florida,None
Louisiana coast to Mississippi coast,None in effect
Louisiana coast to Mississippi coast,None
Louisiana coast to Florida coast,"West of Cameron, LA to High Island, TX"
Louisiana coast to Mississippi coast,"West of Intracoastal City, LA to High Island, TX"
None,"San Luis Pass, TX to the mouth of the Mississippi River"
Louisiana to Florida,"San Luis Pass TX eastward to the Alabama-Florida border, including Metropolitan New Orleans and Lake Pontchartrain"
Galveston to Louisiana,"San Luis Pass, TX eastward to the Mouth of the Pearl River"
Galveston to Freeport,"Cameron, LA eastward to the Mouth of the Pearl River"
Bay St. Louis to Pass Christian,"Intracoastal City, LA to the Mouth of the Pearl River, MS"
"27.6N, 92.6W","28.2N, 93.2W"
"26.4N, 91.0W","27.3N, 91.9W"
"25.9N, 90.5W","25.7N, 90.6W"
"24.4N, 89.5W","24.8N, 90.1W"
"24.7N, 88.7W","24.7N, 88.7W"
NW,NW
NW,NW (310°)
NW,stationary (expected to resume NW tonight)
NNW,NW
N,N
10,9 mph
7,8 mph
10,0 mph
8,8 mph
9,9 mph
Mississippi,Upper Texas coast eastward through Louisiana to the western Florida Panhandle
Louisiana,central Texas coast to western Florida Panhandle
Louisiana,Upper Texas coast (including Galveston Bay) through coastal southwest Louisiana and Mississippi
Louisiana,"Southeast TX to southwestern LA, then northward through southern MS/AL and the FL Panhandle"
Louisiana,Gulf Coast from the central Texas coast eastward to the western Florida Panhandle
GALVESTON TX,GALVESTON TX
GALVESTON TX,GALVESTON TX
HOUSTON TX,GALVESTON TX
GALVESTON TX,GALVESTON TX
GALVESTON TX,GALVESTON TX
31,31%
32,32%
32,34%
19,20%
17,17%
13,<3%
5,5%
5,5%
2,3%
10,0%
31,24
32,≈30
34,72
19,72
17,60
31,N/A
48,≈30
48,72
24,72
24,N/A
31,31%
30,17%
34,34%
7,7%
17,7%
D,D.
B,B.
D,D.
B,B.
D,A.
southeastern Texas or southwestern Louisiana,Upper Texas coast eastward through Louisiana to the western Florida Panhandle
Louisiana,central Texas coast to western Florida Panhandle
Louisiana,Upper Texas coast (including Galveston Bay) through coastal southwest Louisiana and Mississippi
Louisiana coast,"Southeast TX to southwestern LA, then northward through southern MS/AL and the FL Panhandle"
Louisiana Coast,Gulf Coast from the central Texas coast eastward to the western Florida Panhandle
B,B.
B,B.
B,B.
B,B.
B,B.
A,A.
B,D.
B,D.
A,C.
A,A.
Louisiana,Upper Texas coast eastward through Louisiana to the western Florida Panhandle
Louisiana,central Texas coast to western Florida Panhandle
Louisiana,Upper Texas coast (including Galveston Bay) through coastal southwest Louisiana and Mississippi
Louisiana,"Southeast TX to southwestern LA, then northward through southern MS/AL and the FL Panhandle"
Louisiana,Gulf Coast from the central Texas coast eastward to the western Florida Panhandle
100,12
100,24-30
100,36
120,40
120,45
10,24
12,36
10,24
12,N/A
48,0
C,B.
D,D.
D,D.
D,D.
C,D.
D,C.
D,C.
D,B.
D,B.
D,A.
C,B.
C,A.
C,D.
C,D.
C,D.
No,Yes
Yes,No
Yes,Yes
Yes,No
Yes,No
C,A.
C,A.
C,B.
C,B.
C,B.
12,12
12,24-30
24,36
12,40
24,45
B,B.
B,A.
B,B.
A,B.
B,B.
B,B.
B,D.
B,A.
B,B.
B,B.
B,C.
B,B.
B,B.
"Tornadoes are possible into tonight from the far western Florida Panhandle across southwestern Alabama, southern Mississippi, and southern Louisiana.","Isolated tornadoes, dangerous seas and rip currents that could disrupt vessel traffic"
Tornadoes are possible from the western Florida Panhandle to southern Louisiana.,Isolated tornadoes and dangerous rip currents
Isolated tornadoes are possible this evening and tonight from south-central Louisiana to the western Florida Panhandle.,Isolated tornadoes in outer rain-bands Wednesday night and Thursday.
Tornadoes are possible from south-central Louisiana to the western Florida Panhandle.,Low tornado threat well east of Galveston; operational impacts mainly from periodic heavy rain and elevated seas
"Galveston, TX, should be prepared for potential storm surge and flooding from the storm's projected path.",Dangerous rip currents along the Upper Texas coast.
"{
  ""gale_probability"": {
    ""in 12h"": ""3"",
    ""in 24h"": ""6"",
    ""in 48h"": ""7"",
    ""in 72h"": ""1"",
    ""in 96h"": ""1""
  }
}","{'in 12h': '21%', 'in 24h': '10%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""10%"",
    ""24_hours"": ""20%"",
    ""48_hours"": ""30%"",
    ""72_hours"": ""40%"",
    ""96_hours"": ""50%""
  }
}
```","{'in 12h': '3%', 'in 24h': '13%', 'in 48h': '32%', 'in 72h': '32%', 'in 96h': '32%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""1"",
    ""24_hours"": ""1"",
    ""48_hours"": ""1"",
    ""72_hours"": ""1"",
    ""96_hours"": ""1""
  }
}
```","{'in 12h': '1%', 'in 24h': '5%', 'in 48h': '8%', 'in 72h': '2%', 'in 96h': '0%'}"
