response,ground_truth
No,No
C,A.
C,A.
"Based on the Track Forecast Cone, here are the coastal areas under Tropical Storm (TS) and Hurricane Watch:

""South Padre Island"" to ""Galveston""

Note: The locations mentioned are only based on the provided Track Forecast Cone figure. If there's any uncertainty or missing information, please let me know!",None
"According to the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm and Hurricane warning are:

Cabo Rojo, Puerto Rico to Punta Morro, Dominican Republic",None
"23.5N, 84.1W","32.6N, 76.5W"
WNW,NE
35,12 mph
Florida,Mainly the Outer Banks of North Carolina for surf and rip-currents; offshore waters of the western Atlantic
CAPE HATTERAS,CAPE HATTERAS NC
2,≈5%
1,<1%
120,≈12 h
120,N/A
2,3% (onset) / 5% (cumulative)
C,C.
Outer Banks,Mainly the Outer Banks of North Carolina for surf and rip-currents; offshore waters of the western Atlantic
B,A.
D,C.
Texas,Mainly the Outer Banks of North Carolina for surf and rip-currents; offshore waters of the western Atlantic
Please provide the Track Forecast Cone coordinates for me to analyze. I'll give you an integer answer in hours!,N/A
72,0
C,D.
D,A.
B,A.
No,No
B,A.
72,N/A
D,D.
D,B.
B,B.
Hanna,Minor increase in long-period swells and rip-current risk along the east-central Florida beaches.
"Here is the answer in JSON format:

{
""gale_probability"": {
""in 12h"": ""3"",
""in 24h"": ""2"",
""in 48h"": ""1"",
""in 72h"": ""X"",
""in 96h"": ""X""
}
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
01-09-2020,8/29/2020
31-09-2020,8/29/2020
31-09-2020,8/29/2020
5,2
1,2.0
None,1.0
B,B.
