response,ground_truth
No,Yes
No,Yes
No,Yes
No,Yes
A,A.
A,A.
A,B.
A,B.
A,B.
A,B.
A,A.
A,A.
Cuba to Florida,None in effect for Florida east coast north of Volusia/Brevard County line.
Florida to Louisiana,N/A (no watch area along Florida east coast at this time)
Cuba to Florida,"East coast of Florida south of the Volusia/Brevard County Line (includes Port Canaveral), west coast south of the Middle of Longboat Key, Keys, Lake Okeechobee, and Florida Bay"
Cuba to Florida,"East coast of Florida south of the Volusia/Brevard County line (includes Brevard County south of the line, the Keys, and west coast south of Longboat Key)"
Cuba,"East coast of Florida south of the Volusia/Brevard County Line to Card Sound Bridge, including Port Canaveral area; west coast south of the Middle of Longboat Key to Card Sound Bridge; Florida Keys; Lake Okeechobee."
Florida to Cuba,"East coast of Florida south of the Volusia/Brevard County line to Card Sound Bridge, including the Florida Keys and Florida Bay"
Cuba to Florida,None issued as of Advisory 1A
Cuba to Florida,None
"23.3N, 85.0W","23.3N, 85.0W"
"22.4N, 86.8W","22.4N, 86.8W"
"21.5N, 87.5W","21.5N, 87.5W"
"21.4N, 87.5W","21.4N, 87.5W"
NE,NE
NE,NE
N,N
N,N
7,7 mph
6,6 mph
5,5 mph
5,5 mph
Florida,"South-central and southeast Florida coasts, including Brevard County (Port Canaveral), the Keys, and northwest Bahamas."
Florida,"Entire southern and central Florida Peninsula, Keys, portions of Gulf and Atlantic coasts, and north-western Bahamas"
Florida,"Southern and central Florida Peninsula, including east-central Florida coastline from Cape Canaveral southward and west coast from Longboat Key to Florida Bay"
Florida,"Entire southern and portions of central Florida Gulf and Atlantic coasts, including Brevard County, Keys, and adjacent offshore waters"
PATRICK AFB,COCOA BEACH FL
PATRICK AFB,COCOA BEACH FL
PATRICK AFB,COCOA BEACH FL
PATRICK AFB,COCOA BEACH FL
24,24%
18,18%
3,15%
3,15%
6,0%
8,3%
3,0%
3,<3%
36,24
36,48
18,48
18,45
48,N/A
24,48
120,N/A
120,None
14,24%
18,18%
15,15%
15,12%
B,B.
C,A.
D,D.
B,B.
Florida Peninsula,"South-central and southeast Florida coasts, including Brevard County (Port Canaveral), the Keys, and northwest Bahamas."
Florida Peninsula,"Entire southern and central Florida Peninsula, Keys, portions of Gulf and Atlantic coasts, and north-western Bahamas"
Florida Peninsula,"Southern and central Florida Peninsula, including east-central Florida coastline from Cape Canaveral southward and west coast from Longboat Key to Florida Bay"
Florida Peninsula,"Entire southern and portions of central Florida Gulf and Atlantic coasts, including Brevard County, Keys, and adjacent offshore waters"
B,B.
B,B.
A,B.
A,B.
A,A.
D,D.
D,D.
B,B.
Florida,"South-central and southeast Florida coasts, including Brevard County (Port Canaveral), the Keys, and northwest Bahamas."
Florida,"Entire southern and central Florida Peninsula, Keys, portions of Gulf and Atlantic coasts, and north-western Bahamas"
Florida,"Southern and central Florida Peninsula, including east-central Florida coastline from Cape Canaveral southward and west coast from Longboat Key to Florida Bay"
Florida,"Entire southern and portions of central Florida Gulf and Atlantic coasts, including Brevard County, Keys, and adjacent offshore waters"
120,18
120,30
120,42
120,36
120,30
120,36
120,48
120,60
D,D.
D,D.
D,D.
D,D.
D,B.
D,B.
D,B.
D,B.
C,B.
C,C.
D,C.
D,C.
No,Yes
No,No
No,No
No,No
B,A.
B,B.
B,C.
B,C.
36,18
36,30
48,42
48,36
B,A.
B,A.
B,B.
B,B.
B,B.
B,B.
B,A.
B,B.
C,C.
C,C.
B,D.
B,A.
Tornadoes are possible over the southern Florida Peninsula and the Florida Keys tonight and Saturday.,Isolated tornadoes Saturday; brief squalls reducing visibility and affecting vessel handling.
Isolated tornadoes are possible over South Florida beginning this evening and continuing through Saturday.,"Brief tornadoes/waterspouts possible in outer rain bands; rough seas and short-period swells will affect channel approaches, disrupting pilotage and cargo operations."
Flooding may occur in low-lying areas near the coast.,Elevated surf and dangerous rip currents along adjacent beaches; lightning within squalls
Flooding and mudslides are possible due to heavy rainfall.,Very rough seas and dangerous rip-currents beginning late Friday night; lightning in outer rainbands may intermittently halt cargo operations
"{
  ""gale_probability"": {
    ""in 12h"": ""2"",
    ""in 24h"": ""7"",
    ""in 48h"": ""14"",
    ""in 72h"": ""24"",
    ""in 96h"": ""45""
  }
}","{'in 12h': '14%', 'in 24h': '10%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""2"",
    ""in 24h"": ""6"",
    ""in 48h"": ""18"",
    ""in 72h"": ""34"",
    ""in 96h"": ""39""
  }
}","{'in 12h': '0%', 'in 24h': '1%', 'in 48h': '18%', 'in 72h': '18%', 'in 96h': '18%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""1"",
    ""in 48h"": ""1"",
    ""in 72h"": ""1"",
    ""in 96h"": ""1""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '15%', 'in 72h': '15%', 'in 96h': '15%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""10"",
    ""in 24h"": ""10"",
    ""in 48h"": ""10"",
    ""in 72h"": ""10"",
    ""in 96h"": ""10""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '3%', 'in 72h': '15%', 'in 96h': '15%'}"
04-06-2022,6/3/2022
03-06-2022,6/3/2022
03-06-2022,6/3/2022
03-06-2022,6/3/2022
04-06-2022,6/3/2022
03-06-2022,6/3/2022
03-06-2022,6/3/2022
03-06-2022,6/3/2022
03-06-202,6/3/2022
03-06-2022,6/3/2022
02-06-2022,6/3/2022
02-06-2022,6/3/2022
5,4
5,4
2,4
5,4
5,4.0
5,4.0
5,4.0
5,4.0
1-2,1.0
1,1.0
1,1.0
1-2,1.0
B,B.
B,B.
A. None,B.
A. None,B.
