response,ground_truth
No,No
A,A.
A,A.
None,
None,
"32.6N, 76.5W","32.6N, 76.5W"
NE,NE
12,12 mph
Bermuda,Rip-current and surf impacts mainly along the Outer Banks of North Carolina; little direct impact expected along the South Carolina coast
MOREHEAD CITY,CAPE HATTERAS NC
5%,5%
0,0%
N/A,12
N/A,
N/A,3%
D,D.
"There will be no landfall.

The affected coast is:
Outer Banks North Carolina to Long Island",Rip-current and surf impacts mainly along the Outer Banks of North Carolina; little direct impact expected along the South Carolina coast
A,A.
B,B.
New England,Rip-current and surf impacts mainly along the Outer Banks of North Carolina; little direct impact expected along the South Carolina coast
72,
36,0
D,D.
B,A.
C. 24-48 hours,B.
No,No
D,A.
72,
D.,D.
B,B.
B,B.
The Port of Charleston could experience hazardous rip currents.,"Low-level swell and occasionally rough surf possible, but main rip-current risk is farther north along the Outer Banks."
"```json
{
  ""gale_probability"": {
    ""in 12h"": 3,
    ""in 24h"": 2,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '3%', 'in 24h': '2%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
02-09-2020,9/3/2020
01-09-2020,9/3/2020
04-09-2020,9/3/2020
2,2
0,2.0
None,0.339843103
B,B.
