response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,Yes
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,B.
B,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
"Florida coast to Cape Lookout, North Carolina","North of Surf City, NC to Oregon Inlet, including Pamlico Sound"
None,"Tropical Storm Watch from Marineland, FL to South Santee River, SC"
None,Marineland FL to Altamaha Sound GA (Tropical Storm Watch)
Florida coast to North Carolina coast,Hurricane Watch: Anclote River FL to Indian Pass FL; Tropical Storm Watch: west of Indian Pass to Walton/Bay County line
None,Hurricane Watch: Anclote River FL to Indian Pass FL; Tropical Storm Watch: west of Indian Pass to Walton/Bay County line
None,None issued yet
None,None issued yet
None,None issued
None,None in effect
Florida to North Carolina,"Flagler/Volusia County line, FL to Surf City, NC"
Florida Panhandle to Wilmington,"Hurricane Warning Suwannee River–Mexico Beach, FL; Hurricane Watch Anclote River–Suwannee River and Mexico Beach–Destin; Tropical Storm Warning Anclote River–Suwannee River and Mexico Beach–Destin"
None,Anclote River to Walton/Bay County line FL (Tropical Storm Warning); Anclote River to Indian Pass FL (Hurricane Watch)
None,None at this time
None,None at this advisory
None,None issued yet
None,None issued yet
None,None issued
None,None in effect
"27.4N, 86.0W","27.8N, 85.6W"
"25.8N, 87.0W","26.0N, 87.0W"
"24.6N, 88.0W","24.7N, 88.0W"
"24.3N, 87.8W","24.3N, 88.1W"
"24.0N, 87.2W","24.4N, 87.3W"
"23.9N, 85.5W","23.8N, 86.6W"
"23.6N, 84.3W","23.6N, 84.3W"
"23.4N, 82.7W","23.4N, 82.7W"
"23.7N, 81.7W","23.7N, 81.7W"
NNE,NNE
NNE,N (expected to turn NNE soon)
Stationary,N
NNW,W
WNW,NW
W,W
W,W
W,W
W,W
14,14 mph
10,6 mph
Stationary,2 mph
2,1 mph
7,5 mph
35,7 mph
7,7 mph
35,9 mph
9,9 mph
Florida,"Florida Gulf Coast, coastal Georgia, South Carolina, and the Atlantic coast northward through southeastern North Carolina"
"Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, New York, Connecticut, Rhode Island, Massachusetts, New Hampshire, Maine","Florida west coast, Georgia coast, South and North Carolina coast, Mid-Atlantic coast to New England"
Florida,"Gulf coast of Florida, then Atlantic coasts of GA, SC, and NC northward to the Mid-Atlantic and New England"
Florida,Gulf coast of Florida then Atlantic coast from northern Florida through Georgia and the Carolinas
Florida,"Florida Gulf coast, then the coasts of Georgia and the Carolinas"
Florida,"Florida Gulf Coast, Georgia, South Carolina, and North Carolina coasts including Cape Fear and the Outer Banks"
FL,"Florida Gulf Coast, then coastal GA, SC and southeastern NC (including Cape Fear to Cape Lookout)"
Florida,"Florida Big Bend through Georgia, South Carolina and coastal North Carolina"
"FL, GA, SC, NC","Florida Gulf Coast, then southeastern U.S. coastline from Georgia through the Carolinas"
WILMINGTON NC,WILMINGTON NC
WILMINGTON NC,WILMINGTON NC
WILMINGTON NC,WILMINGTON NC
WILMINGTON NC,WILMINGTON NC
WILMINGTON NC,WILMINGTON NC
WILMINGTON NC,WILMINGTON NC
WILMINGTON NC,WILMINGTON NC
WILMINGTON NC,WILMINGTON NC
SURF CITY NC,WILMINGTON NC
58,57%
40,40%
28,28%
31,31%
17,17%
16,16%
15,15%
9,8%
7,7%
20,20%
12,12%
7,7%
8,8%
3,3%
16,4%
7,0%
0,0%
0,0%
48,36
12,72
27,72
72,72
48,120
96,96
72,96
84,120
120,120
24,36
72,72
26,72
48,72
96,96
48,120
N/A,
N/A,N/A
N/A,N/A
58,38%
40,32%
30,25%
23,23%
17,17%
16,14%
8,8%
7,8%
7,7%
D,B.
C,D.
A,C.
C,B.
B,D.
D,B.
B,C.
None,A.
D,A.
Suwannee River to Mexico Beach,"Florida Gulf Coast, coastal Georgia, South Carolina, and the Atlantic coast northward through southeastern North Carolina"
Suwannee River to Mexico Beach,"Florida west coast, Georgia coast, South and North Carolina coast, Mid-Atlantic coast to New England"
Anclote River to Indian Pass,"Gulf coast of Florida, then Atlantic coasts of GA, SC, and NC northward to the Mid-Atlantic and New England"
Anclote River to Indian Pass,Gulf coast of Florida then Atlantic coast from northern Florida through Georgia and the Carolinas
Anclote River to Indian Pass,"Florida Gulf coast, then the coasts of Georgia and the Carolinas"
No coastal watches or warnings in effect,"Florida Gulf Coast, Georgia, South Carolina, and North Carolina coasts including Cape Fear and the Outer Banks"
no coastal watches or warnings in effect,"Florida Gulf Coast, then coastal GA, SC and southeastern NC (including Cape Fear to Cape Lookout)"
Florida Keys,"Florida Big Bend through Georgia, South Carolina and coastal North Carolina"
Florida Keys to Gulf of Mexico,"Florida Gulf Coast, then southeastern U.S. coastline from Georgia through the Carolinas"
B,B.
B,B.
B,B.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,D.
B,C.
D,D.
C,C.
B,A.
C,B.
D,D.
D,B.
C,C.
Florida,"Florida Gulf Coast, coastal Georgia, South Carolina, and the Atlantic coast northward through southeastern North Carolina"
Florida,"Florida west coast, Georgia coast, South and North Carolina coast, Mid-Atlantic coast to New England"
Florida,"Gulf coast of Florida, then Atlantic coasts of GA, SC, and NC northward to the Mid-Atlantic and New England"
Cape Lookout,Gulf coast of Florida then Atlantic coast from northern Florida through Georgia and the Carolinas
"Wilmington, NC","Florida Gulf coast, then the coasts of Georgia and the Carolinas"
Florida,"Florida Gulf Coast, Georgia, South Carolina, and North Carolina coasts including Cape Fear and the Outer Banks"
Carolinas,"Florida Gulf Coast, then coastal GA, SC and southeastern NC (including Cape Fear to Cape Lookout)"
Florida,"Florida Big Bend through Georgia, South Carolina and coastal North Carolina"
Florida,"Florida Gulf Coast, then southeastern U.S. coastline from Georgia through the Carolinas"
26,12
21,20
48,24
48,36
64,48
24,60
None,72
72,96
72,96
55,42
72,80
91,60
84,24
36,84
73,96
105,96
72,108
78,114
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
A,C.
B,B.
C,C.
C,B.
A,C.
C,B.
B,B.
A,B.
A,B.
C,C.
C,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,No
No,No
No,No
No,No
A,B.
C,C.
C,C.
C,D.
C,D.
C,D.
A,D.
A,D.
A,D.
48,12
76,20
76,24
72,36
72,48
0,60
71,72
0,96
0,96
A,A.
D,B.
D,B.
D,A.
D,B.
D,A.
D,B.
D,B.
D,B.
C,B.
C,B.
A,A.
A,A.
B,A.
A,D.
A,A.
A,B.
A,B.
D,C.
D,C.
D,C.
D,D.
A,B.
A,B.
Tornadoes are possible.,Isolated tornadoes Friday into Friday night; hazardous marine conditions and very rough seas.
Tornadoes are possible.,Isolated tornado risk and short-fuse waterspout threat in outer rainbands; dangerous rip currents and heavy surf likely
Tornadoes are possible.,Isolated tornadoes in outer rain bands and short-fuse coastal flooding during high‐tide cycles.
"There are no additional hazards mentioned for Wilmington, NC, beyond wind, rain, and storm surge.",Isolated tornadoes in rain bands and short-fused squalls may disrupt cargo and crane operations.
"There are no additional hazards associated with the possible future storm at Wilmington, NC, besides rainfall, wind, and storm surge.",Elevated surf and rip-current risk along southeast North Carolina beaches
"There are no additional hazards associated with the possible future storm at Wilmington, NC.",Isolated tornadoes in outer rainbands and short-lived waterspouts near the coast
"There are no additional hazards associated with the possible future storm at Wilmington, NC, excluding rainfall, wind, and storm surge.",Short-lived tornado threat in outer rain bands Thursday night–Friday; hazardous seas and rip currents likely to disrupt pilot/berthing operations
"There are no additional hazards affecting Wilmington, NC, based on the provided information.",Rough seas and strong rip currents likely along the southeastern North Carolina beaches.
"No additional hazards are identified for Wilmington, NC, as the storm is forecast to remain offshore and weaken.",Isolated squalls and rough seas may affect vessel operations as the system passes offshore.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 7,
    ""in 24h"": 54,
    ""in 48h"": 5,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '57%', 'in 72h': '58%', 'in 96h': '58%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 1,
    ""in 72h"": 1,
    ""in 96h"": 2
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '8%', 'in 72h': '32%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '1%', 'in 72h': '26%', 'in 96h': '27%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 1,
    ""in 96h"": 1
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '23%', 'in 96h': '7%'}"
