response,ground_truth
Yes,No
B,A.
B,A.
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the areas under Tropical Storm (TS) Watch are:

Cape Verde Islands to the coast of West Africa",None issued
"Baja California Sur, Mexico to Puerto Vallarta, Mexico",None issued
"24.5N, 82.1W","32.6N, 76.5W"
WNW,NE
25,12 mph
Florida,Outer Banks of North Carolina and offshore waters of the western Atlantic toward Bermuda
MOREHEAD CITY,CAPE HATTERAS NC
2,0%
1,0%
12,N/A
N/A,N/A
N/A,0%
B,D.
North Carolina,Outer Banks of North Carolina and offshore waters of the western Atlantic toward Bermuda
B,A.
C,A.
Cuba,Outer Banks of North Carolina and offshore waters of the western Atlantic toward Bermuda
"Based on the Track Forecast Cone from National Hurricane Center, I've analyzed the data.

*Current Position:*

 Lat: 27.5°N
 Lon: 86.0°W

*Projected Landfall:*

 Lat: 30.2°N
 Lon: 91.8°W

Time elapsed between current position and projected landfall:

= √((30.2 - 27.5)^2 + (91.8 - 86.0)^2) / 0.0001 ≈ 144 hours",N/A
36,0
D,D.
D,A.
D,A.
No,No
D,A.
36,N/A
D,D.
B,B.
D,B.
"Lightning strikes are likely to occur in the area surrounding the port, posing a threat to ships and personnel.",None anticipated that would affect port operations.
"Here is the answer:

{
""gale_probability"": {
""in 12h"": ""2"",
""in 24h"": ""1"",
""in 48h"": ""X"",
""in 72h"": ""X"",
""in 96h"": ""X""
}
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
31-09-2020,8/31/2020
02-09-2020,8/31/2020
31-09-2020,8/31/2020
5,2
3,2.0
0%,0.469300476
D,B.
