response,ground_truth
No,No
A,A.
A,A.
Florida to Louisiana,None in effect
Florida to Louisiana,None in effect
"25.6N, 94.4W","25.6N, 94.4W"
N,N
16,16 mph
Louisiana,central and eastern northern Gulf Coast (LA–MS–AL)
GFMX 280N 910W,LAKE CHARLES LA
0,5%
0,0%
N/A,12
N/A,N/A
N/A,5%
B,B.
Louisiana,central and eastern northern Gulf Coast (LA–MS–AL)
A,A.
C,D.
Florida,central and eastern northern Gulf Coast (LA–MS–AL)
120,15
120,N/A
C,D.
D,A.
D,B.
No,No
D,B.
24,15
B,B.
B,B.
B,B.
Tornadoes are possible across southeast portions of Louisiana and Mississippi into southwest Alabama.,Hazardous seas and rip-currents along the upper Texas coast
"{
  ""gale_probability"": {
    ""in 12h"": ""10"",
    ""in 24h"": ""10"",
    ""in 48h"": ""10"",
    ""in 72h"": ""10"",
    ""in 96h"": ""10""
  }
}","{'in 12h': '<1%', 'in 24h': '<1%', 'in 48h': '<1%', 'in 72h': '<1%', 'in 96h': '<1%'}"
27-10-2019,None
25-10-2019,None
29-10-2019,None
2,0
0,None
None,None
B. 1-10 vessels,A.
