response,ground_truth
No,No
No,No
A,A.
A,A.
A,A.
A,A.
None,None in Gulf region; watch confined to Mid-Atlantic / Northeast coast
None,"Cape May, NJ to Watch Hill, RI including Long Island and Long Island Sound"
None,"Tropical Storm Warning from Cape May, NJ to Watch Hill, RI including Long Island and Long Island Sound"
None,"Cape May, NJ to Watch Hill, RI including Long Island and Long Island Sound (Tropical Storm Warning)"
"36.7N, 74.9W","37.4N, 74.8W"
"35.5N, 74.9W","35.5N, 74.9W"
N,N
N,N
45,10 mph
7,7 mph
"Mid-Atlantic, New England","Mid-Atlantic coast from the Delmarva Peninsula northward through New Jersey, Long Island, Connecticut, Rhode Island and southern New England"
New England,Outer Banks of North Carolina northward through the Mid-Atlantic coast and into southern New England
ATLANTIC CITY,None (no Gulf locations listed in probabilities table)
ATLANTIC CITY,None
0,0%
X,0%
0,0%
X,0%
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,0%
N/A,0%
A,D.
D,B.
mid-Atlantic coast today and move inland over the mid-Atlantic or the northeast United States late tonight or on Saturday,"Mid-Atlantic coast from the Delmarva Peninsula northward through New Jersey, Long Island, Connecticut, Rhode Island and southern New England"
Cape May New Jersey to Watch Hill Rhode Island,Outer Banks of North Carolina northward through the Mid-Atlantic coast and into southern New England
B,B.
B,B.
B,D.
A,B.
New Jersey,"Mid-Atlantic coast from the Delmarva Peninsula northward through New Jersey, Long Island, Connecticut, Rhode Island and southern New England"
Cape Hatteras,Outer Banks of North Carolina northward through the Mid-Atlantic coast and into southern New England
14,18
21,24
None,N/A
None,0
C,D.
D,D.
A,A.
A,A.
D,A.
A,A.
No,No
No,No
C,A.
D,A.
0,18
36,24
D,D.
D,D.
A,B.
B,B.
A,B.
A,B.
"No additional hazards are mentioned for Mobile, AL in the provided advisory.",None
"There are no additional hazards mentioned for Mobile, AL.",None
"```json
{
  ""gale_probability"": {
    ""in 12h"": 5,
    ""in 24h"": 21,
    ""in 48h"": 1,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": 2,
    ""in 24h"": 14,
    ""in 48h"": 10,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
10-07-2020,None
09-07-2020,None
N/A,None
20-07-2020,None
10-07-2020,None
11-07-2020,None
4,0
3,0
2,None
1,None
None,None
None,None
A,A.
A,A.
