response,ground_truth
No,Yes
No,No
No,No
B,A.
A,A.
A,A.
B,A.
A,A.
A,A.
19.1N to 25N,No watches posted for the northern Gulf Coast at this time
Mexico to Belize,"Tropical Storm Warning only from Campeche to Puerto de Veracruz, Mexico – no U.S. coastline under watch"
Mexico City to Veracruz,
Mexico to Florida,Tropical Storm Warning in effect only for the coast of Mexico from Campeche to Puerto de Veracruz
Mexico to Florida,"Same as watch – Campeche to Puerto de Veracruz, Mexico"
Mexico to Florida,"Campeche to Puerto de Veracruz, Mexico (TS Warning)"
"19.1N, 92.3W","19.1N, 92.3W"
"19.6N, 92.4W","19.2N, 92.8W"
"19.6N, 91.2W","19.6N, 91.2W"
S,SE
W,SW
WNW,WNW
3,2 mph
3,3 mph
7,7 mph
Texas,"Entire central Gulf Coast from the Texas/Louisiana border eastward to Alabama is within the 5-day cone, with highest risk centered on coastal Louisiana"
Mexico,Southern Bay of Campeche coast now; potential north-central Gulf Coast (including Louisiana) late weekend into early next week
Florida,Southern Bay of Campeche shoreline of Mexico
Buras La,NEW ORLEANS LA
BURAS LA,NEW ORLEANS LA
VERACRUZ MX,VERACRUZ MX (most northerly site in wind table)
11,11%
3,3%
0,0
4,0%
4,<1%
0,0
120,120
24,120
N/A,
N/A,0
24,N/A
N/A,
11,11%
3,3%
N/A,0
B,B.
C,A.
C,C.
Campeche,"Entire central Gulf Coast from the Texas/Louisiana border eastward to Alabama is within the 5-day cone, with highest risk centered on coastal Louisiana"
Campeche to Puerto de Veracruz,Southern Bay of Campeche coast now; potential north-central Gulf Coast (including Louisiana) late weekend into early next week
Campeche to Puerto de Veracruz,Southern Bay of Campeche shoreline of Mexico
B,B.
B,B.
A,A.
B,C.
A,A.
A,A.
Texas,"Entire central Gulf Coast from the Texas/Louisiana border eastward to Alabama is within the 5-day cone, with highest risk centered on coastal Louisiana"
Texas,Southern Bay of Campeche coast now; potential north-central Gulf Coast (including Louisiana) late weekend into early next week
Mexico,Southern Bay of Campeche shoreline of Mexico
120,96
120,120
120,30
12,120
None,≈156
120,
D,D.
D,D.
D,D.
D,B.
D,A.
D,A.
D,D.
B,D.
D,A.
No,No
No,No
No,No
D,D.
B,D.
D,A.
400,96
24,120
36,30
B,A.
B,B.
B,D.
B,D.
B,A.
B,B.
B,A.
"No additional hazards are currently projected for South Louisiana, LA, Port of from Tropical Storm Cristobal.",Periods of squalls could restrict navigation; river stages already high may experience additional rises from heavy rain and surge backing up the Mississippi River
"No additional hazards are expected for South Louisiana, LA, Port of from the storm.",Port operations may be affected by river rises from upstream rainfall and by offshore swell building in advance of the storm.
"No additional hazards are expected for South Louisiana, LA, Port of from the storm.",None
"```json
{
  ""gale_force_probabilities"": {
    ""12"": ""X"",
    ""24"": ""X"",
    ""36"": ""X"",
    ""48"": ""X"",
    ""72"": ""X"",
    ""96"": ""1""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '2%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""0"",
    ""in 24h"": ""0"",
    ""in 48h"": ""0"",
    ""in 72h"": ""0"",
    ""in 96h"": ""0""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""2"",
    ""in 48h"": ""4"",
    ""in 72h"": ""7"",
    ""in 96h"": ""10""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
03-06-2020,6/7/2020
03-06-2020,6/7/2020
06-06-2020,6/7/2020
03-06-2020,6/8/2020
07-06-2020,6/8/2020
06-06-2020,6/8/2020
04-06-2020,6/7/2020
07-06-2020,6/7/2020
06-06-2020,6/7/2020
5,3
2,3
5,3
5,2.0
5,2.0
0,2.0
11,0.384764584
3,0.384764584
None,0.384764584
D,D.
B,D.
A,D.
