response,ground_truth
NO,No
Yes,No
B,A.
B,A.
C,A.
B,A.
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm (TS) Watch are:

Coastal Texas to Louisiana",None
"Based on the provided Track Forecast Cone, the coastal areas under Tropical Storm and Hurricane watches are:

Miami, FL to West Palm Beach, FL",
"Based on the Track Forecast Cone from National Hurricane Center:

Location: [insert your image description]

The coastal areas under Tropical Storm (TS) and Hurricane warnings are:

Jacksonville Beach, FL to Flagler Beach, FL",Baffin Bay to High Island Texas
"Based on the Track Forecast Cone from National Hurricane Center [img-0], I can see that the coastal areas under Tropical Storm Warning are:

Brownsville to Baffin Bay, TX

And under Hurricane Warning are:

Freeport to Sargent, TX

Let me know if you'd like me to help with anything else!","Baffin Bay to High Island, Texas"
"24.5N, 84.2W","27.9N, 95.7W"
"25.3N, 84.1W","27.1N, 94.2W"
WNW,NW
WNW,NW
35,13 mph
25,12 mph
Florida,Texas coast from Baffin Bay northward to High Island (central and upper Texas coast)
North Carolina,Middle and upper Texas coast and adjacent western Louisiana coast
PORT ARTHUR TX,GFMX 270N 960W
PORT ARTHUR TX,CORPUS CHRISTI TX
1,26%
1,<3%
1,<3%
6,<1%
7,36
28,12
N/A,N/A
N/A,
N/A,26%
1,<3%
D,B.
"D. Houston Port Authority, TX",B.
Baffin Bay to High Island Texas,Texas coast from Baffin Bay northward to High Island (central and upper Texas coast)
Baffin Bay to High Island Texas,Middle and upper Texas coast and adjacent western Louisiana coast
B,B.
B. Tropical Storm,B.
B,A.
B,B.
Florida,Texas coast from Baffin Bay northward to High Island (central and upper Texas coast)
Florida,Middle and upper Texas coast and adjacent western Louisiana coast
"According to the Track Forecast Cone from National Hurricane Center, I'm expecting to make landfall in... 72 hours!",6
75,8
72,N/A
48,
B.,B.
C,D.
D,A.
D,A.
D,C.
D,B.
No,Yes
No,No
C,A.
B,B.
10 hours,6
10,8
C,B.
A,B.
C,B.
C,B.
D,B.
C,A.
Tornadoes.,Rip currents and isolated squalls from outer rain bands.
"Heavy ash and debris can be expected in Brownsville, TX as Bill's strong outer rain bands may stir up dusty conditions from dry land areas.",None expected that would materially affect port operations.
"{
  ""gale_probability"": {
    ""in 12h"": 3,
    ""in 24h"": 1,
    ""in 48h"": X,
    ""in 72h"": X,
    ""in 96h"": X
  }
}","{'in 12h': '23%', 'in 24h': '25%', 'in 48h': '26%', 'in 72h': '26%', 'in 96h': '26%'}"
"{
  ""gale_probability"": {
    ""in 12h"": 3,
    ""in 24h"": 1,
    ""in 48h"": X,
    ""in 72h"": X,
    ""in 96h"": X
  }
}","{'in 12h': '6%', 'in 24h': '4%', 'in 48h': '1%', 'in 72h': '0%', 'in 96h': '0%'}"
17-06-2015,None
19-06-2015,None
17-06-2015,None
19-06-2015,None
18-06-2015,None
16-06-2015,None
5,0
5,0
3,None
0,None
3,None
1%,None
B. 1-10 vessels,A.
B. 10-20 vessels,A.
