response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
A,A.
A,B.
A,A.
A,A.
A,A.
A,A.
B,A.
A,A.
A,A.
B,B.
B,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
FL west coast to FL big bend,"North of Surf City NC to Oregon Inlet NC, including Pamlico Sound"
FL to NC,"Marineland, FL northward to South Santee River, SC (includes entire Georgia coast)"
None,Marineland FL to Altamaha Sound GA (tropical-storm watch south of the port)
None,Hurricane Watch in effect Anclote River to Indian Pass FL; Tropical-storm Watch west of Indian Pass to Walton/Bay County line FL (Gulf coast only at this time)
None,Hurricane Watch Anclote River to Indian Pass FL; Tropical Storm Watch west of Indian Pass to Walton/Bay County line FL
Florida to South Carolina,None
None,None
None,None in effect
None,None
None,Flagler/Volusia County line FL northward to Surf City NC (includes entire Georgia coast)
None,"Suwannee River to Mexico Beach, FL (hurricane); Anclote River to Destin, FL (tropical-storm)"
None,Anclote River to Walton/Bay County line FL (tropical-storm warning); Anclote River to Indian Pass FL (hurricane watch)
FL to NC,None issued yet
None,None issued as of this advisory
None,None
None,None
Cuba to Florida,None in effect
None,None
"27.4N, 86.0W","27.8N, 85.6W"
"25.8N, 87.0W","26.0N, 87.0W"
"24.6N, 88.0W","24.7N, 88.0W"
"24.3N, 87.8W","24.3N, 88.1W"
"24.0N, 87.2W","24.4N, 87.3W"
"23.9N, 85.5W","23.8N, 86.6W"
"23.6N, 84.3W","23.6N, 84.3W"
"23.4N, 82.7W","23.4N, 82.7W"
"23.7N, 81.7W","23.7N, 81.7W"
NNE,NNE
NNE,N (010°)
Stationary,N
NNW,"W (drifting, forecast to turn N then NNE)"
WNW,NW
W,W
W,W
WSW,W
W,W
14,14 mph
10,6 mph
Stationary,2 mph
2,1 mph
7,5 mph
35,7 mph
7,7 mph
9,9 mph
35,9 mph
"FL, GA, SC, NC, VA, MD, DE, NJ, NY, CT, RI, MA",Florida Big Bend through Georgia and South Carolina coasts and northward into the Mid-Atlantic
"Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, New York, Connecticut, Rhode Island, Massachusetts, New Hampshire, Maine",Florida–Georgia line northward through coastal Georgia and the Carolinas to Cape Fear
"FL, GA, SC, NC, VA, DE, MD, NJ, NY","Gulf coast of FL, then Atlantic coast from GA through the Carolinas"
Florida,Northern Florida through Georgia and the Carolinas
Florida,"Florida Big Bend, then southeast Georgia and South Carolina coasts including the Port of Savannah area"
FL,Florida Big Bend through southeastern Georgia and coastal South Carolina/Georgia
"FL, SC, NC",Florida Big Bend to Georgia and South Carolina coasts
Florida,Florida Big Bend north-eastward across coastal Georgia and South Carolina into coastal North Carolina
Florida,Florida Gulf Coast Big Bend through Georgia and South Carolina coasts
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
72,72%
58,58%
42,42%
33,33%
26,26%
26,26%
24,24%
13,13%
13,13%
72,23%
58,17%
12,12%
0,9%
26,6%
26,7%
24,5%
13,<3%
13,0%
36,30
12,30
42,48
29,72
24,72
48,72
72,120
72,108
72,108
24,30
53,30
24,72
72,72
72,72
N/A,96
22,96
72,N/A
72,N/A
72,72%
58,29%
42,24%
33,33%
26,26%
26,16%
24,24%
13,7%
13,9%
B,C.
D,C.
A,B.
B,D.
B,C.
C,C.
A,D.
D,B.
A,C.
Suwannee River to Mexico Beach,Florida Big Bend through Georgia and South Carolina coasts and northward into the Mid-Atlantic
Suwannee River to Mexico Beach,Florida–Georgia line northward through coastal Georgia and the Carolinas to Cape Fear
Anclote River to Indian Pass,"Gulf coast of FL, then Atlantic coast from GA through the Carolinas"
Anclote River to Indian Pass,Northern Florida through Georgia and the Carolinas
Anclote River to Indian Pass,"Florida Big Bend, then southeast Georgia and South Carolina coasts including the Port of Savannah area"
western Cuba,Florida Big Bend through southeastern Georgia and coastal South Carolina/Georgia
north coast of western Cuba,Florida Big Bend to Georgia and South Carolina coasts
Florida Keys to Cuba,Florida Big Bend north-eastward across coastal Georgia and South Carolina into coastal North Carolina
HAVANA CUBA to KEY WEST FLORIDA,Florida Gulf Coast Big Bend through Georgia and South Carolina coasts
B,B.
B,B.
B,B.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
B,D.
D,D.
B,A.
D,A.
B,B.
C,A.
C,D.
D,B.
D,D.
Florida,Florida Big Bend through Georgia and South Carolina coasts and northward into the Mid-Atlantic
Florida,Florida–Georgia line northward through coastal Georgia and the Carolinas to Cape Fear
Florida,"Gulf coast of FL, then Atlantic coast from GA through the Carolinas"
Florida,Northern Florida through Georgia and the Carolinas
Outer Banks,"Florida Big Bend, then southeast Georgia and South Carolina coasts including the Port of Savannah area"
FL,Florida Big Bend through southeastern Georgia and coastal South Carolina/Georgia
East Coast of the United States,Florida Big Bend to Georgia and South Carolina coasts
Florida,Florida Big Bend north-eastward across coastal Georgia and South Carolina into coastal North Carolina
Outer Banks,Florida Gulf Coast Big Bend through Georgia and South Carolina coasts
10,12
22,18
49,24
21,42
48,48
3,60
27,72
None,96
72,80
48,24
66,36
57,48
93,60
72,24
66,72
66,93
66,120
75,96
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
C,B.
B,B.
C,B.
C,C.
C,C.
B,B.
A,B.
B,B.
A,C.
B,C.
C,C.
C,C.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
Yes,Yes
Yes,Yes
Yes,Yes
No,Yes
Yes,Yes
Yes,No
Yes,Yes
No,No
No,No
A,B.
C,B.
C,C.
C,C.
C,C.
C,D.
C,D.
C,D.
C,D.
71,12
50,18
76,24
76,42
76,48
60,60
71,72
71,96
77,80
A,A.
D,A.
B,B.
D,A.
A,A.
B,B.
D,B.
D,B.
D,B.
C,B.
C,B.
D,B.
A,D.
A,C.
A,D.
A,D.
A,A.
A,A.
D,C.
D,C.
D,C.
D,C.
A,D.
A,D.
Tornadoes are possible.,A few tornadoes possible Friday; brief coastal inundation could affect low-lying terminals.
Tornadoes are possible.,Isolated tornadoes possible Friday into Friday night across southeast Georgia.
Isolated tornadoes are possible.,Isolated tornadoes possible in southeast Georgia during Thu night–Fri
"No additional hazards are mentioned for Port of Savannah, GA.",Isolated tornadoes and dangerous seas/strong currents in approaches and harbor channel.
"No additional hazards are mentioned for the Port of Savannah, GA.",Brief tornadoes in outer rain bands and reduced visibility/seas >8 ft for inbound/outbound vessels.
"There are no additional hazards described for the Port of Savannah, GA.",Isolated tornadoes in outer rain-bands Thursday night and Friday
"No additional hazards are mentioned for the Port of Savannah, GA.","Rough seas and hazardous marine conditions, possible minor coastal flooding at high tide, and navigation restrictions in the Savannah River channel"
"There are no additional hazards associated with the possible future storm at Port of Savannah, GA.","Brief squalls, lightning, and elevated seas/river levels may disrupt vessel movements and cargo operations during Friday."
"No additional hazards are mentioned for Port of Savannah, GA.",Potential river/flash flooding and temporary port access restrictions due to heavy rain and gusty squalls.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 45,
    ""in 24h"": 45,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '3%', 'in 24h': '28%', 'in 48h': '72%', 'in 72h': '72%', 'in 96h': '72%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 1,
    ""in 72h"": 1,
    ""in 96h"": 1
  }
}
```","{'in 12h': '0%', 'in 24h': '2%', 'in 48h': '53%', 'in 72h': '58%', 'in 96h': '58%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '24%', 'in 72h': '16%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 1,
    ""in 72h"": 1,
    ""in 96h"": 1
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '4%', 'in 72h': '29%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 1,
    ""in 72h"": 2,
    ""in 96h"": 2
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '2%', 'in 72h': '22%', 'in 96h': '2%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 1,
    ""in 72h"": 2,
    ""in 96h"": 3
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '16%', 'in 96h': '9%'}"
