response,ground_truth
Yes,No
A,A.
B,A.
Panama City to Charleston,None
Savannah to Morehead City,Mexico Beach to Steinhatchee River Florida (Tropical Storm Warning)
"29.0N, 86.3W","29.0N, 86.3W"
,NE
21,21 mph
"South Carolina
Georgia
Florida","Florida Panhandle, then coastal Georgia and South Carolina"
"There is no location in the provided table that corresponds to Plaquemines Port District, LA.",PANAMA CITY FL
0,0%
"The provided text does not contain information about Plaquemines Port District, LA. Therefore, I cannot answer the question.",0%
,N/A
N/A,N/A
N/A,0%
D,A.
Mexico Beach to Steinhatchee River,"Florida Panhandle, then coastal Georgia and South Carolina"
B,B.
A,D.
North Carolina,"Florida Panhandle, then coastal Georgia and South Carolina"
27,8
,0
B,D.
,A.
D,A.
No,No
,A.
0,8
,B.
B,B.
B,B.
Isolated tornadoes are possible.,None
,"{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
,9/9/2021
09-09-2021,9/10/2021
09-09-2021,9/9/2021
3,3
0,2.0
None,0.288726924
A,D.
