response,ground_truth
No,Yes
Yes,Yes
Yes,Yes
Yes,Yes
A,A.
A,A.
C,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,Tropical-storm warning in force from Navarre FL to Yankeetown FL (Gulf Coast)
Florida to North Carolina,
Cape Lookout to Cape Fear,None
None,"Tropical-storm watch in effect east of the Ochlockonee River to Yankeetown, FL (Gulf Coast)"
None,Storm-surge warning from Indian Pass FL to Clearwater Beach FL
None,"Tropical Storm Warning in effect along the northern Gulf Coast from the Mississippi/Alabama border to Yankeetown, FL and Grand Isle, LA to the Mouth of the Pearl River (not applicable to Virginia)"
None,"Mississippi/Alabama border to Yankeetown FL, and Grand Isle LA to the Mouth of the Pearl River (storm-surge warning Indian Pass FL to Clearwater Beach FL)"
"Florida coast to Cape Lookout, North Carolina","Tropical-storm warning from the MS/AL border eastward to the Ochlockonee River, FL and Grand Isle, LA to the Pearl River mouth (Gulf Coast)"
"27.6N, 87.6W","28.8N, 86.3W"
"25.1N, 91.2W","26.3N, 89.5W"
"23.3N, 94.6W","24.1N, 93.2W"
"22.4N, 95.7W","22.6N, 95.5W"
NE,NE
NE,NE
NE,NE
N,N (forecast to turn NE)
60,20 mph
40,22 mph
9,12 mph
8,7 mph
"Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey","Florida Gulf Coast, then coastal GA/SC/NC and southeastern Virginia as the system moves NE and offshore"
"Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, New York","Northern Gulf Coast (LA-FL) Saturday, then inland across GA/SC, reaching coastal NC and southeastern VA late Sunday into Monday"
Florida,Florida Panhandle eastward across Georgia and the Carolinas to the southeastern Virginia coast
Florida,"Gulf Coast from LA to FL, inland southeast states, then Atlantic coasts of GA, SC, NC, and southeastern VA"
NORFOLK VA,NORFOLK VA
NORFOLK VA,NORFOLK VA
NORFOLK VA,NORFOLK VA
NORFOLK NAS,NORFOLK VA
6,6%
7,7%
11,11%
3,14%
0,<1%
0,0%
11,0%
3,3%
