response,ground_truth
No,No
B,A.
A,A.
Florida coast,"Tropical Storm Watch/Warning posted from Mexico Beach to Steinhatchee River, FL"
Florida to Louisiana,"Tropical Storm Warning from Mexico Beach to Steinhatchee River, FL"
"29.0N, 86.3W","29.0N, 86.3W"
NE,NE
21,21 mph
Florida,"Eastern Florida Panhandle tonight, then portions of coastal Georgia and South Carolina Thursday"
KINGS BAY GA,PANAMA CITY FL
0,4%
0,0%
N/A,12
N/A,N/A
N/A,4%
D,A.
Mexico Beach to Steinhatchee River Florida,"Eastern Florida Panhandle tonight, then portions of coastal Georgia and South Carolina Thursday"
B,B.
B,B.
Florida,"Eastern Florida Panhandle tonight, then portions of coastal Georgia and South Carolina Thursday"
120,6
120,24
D,D.
D,A.
D,B.
No,No
D,B.
12,6
D,D.
B,B.
B,B.
Tornadoes are possible over portions of the Florida Panhandle this evening into tomorrow morning.,Minimal. Primary operational impact will be potential disruptions to shipping lanes east of the Mississippi Delta rather than at the port itself.
"{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""7"",
    ""in 48h"": ""21"",
    ""in 72h"": ""21"",
    ""in 96h"": ""21""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
08-09-2021,8/29/2021
08-09-2021,9/3/2021
08-09-2021,8/29/2021
5,11
0,6.0
None,1.0
A. None,D.
