response,ground_truth
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
C. Hurricane,A.
B. Tropical Storm,C.
B. Tropical Storm,A.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,A.
B. Tropical Storm,A.
A. None,A.
A. None,A.
A. None,A.
B. Tropical Storm,C.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
A. None,A.
A. None,A.
A. None,A.
'Egmont Key' to 'Steinhatchee River',"Storm Surge Watch west of the Aucilla River to the Ochlockonee River, FL and Tropical Storm Watch north of Altamaha Sound, GA to South Santee River, SC"
'Egmont Key' to 'Steinhatchee River',"Egmont Key to the Steinhatchee River, Florida"
"'Everglades City, FL' to 'Steinhatchee River, FL'","Tropical Storm Watch west of the Ochlockonee River to Indian Pass, FL (north of Tampa area)"
'Everglades City' to 'Aucilla River',West coast of Florida from Englewood northward to the Aucilla River (includes Tampa Bay)
None,"West coast of Florida from Flamingo northward to the Anclote River, including Tampa Bay"
None,Tropical-storm watch currently only for the Florida Keys from Craig Key westward to Dry Tortugas
Jamaica to Haiti,Tropical Storm Watch in effect for the Florida Keys from Craig Key westward to the Dry Tortugas
Santo Domingo to Punta Palenque,None issued for Florida at the time of this advisory
Dominican Republic to Puerto Rico,"Current watches confined to Hispaniola, Jamaica and Cuba – none yet for U.S. coastline"
Haiti to Dominican Republic,"None in Florida at this time – watches confined to portions of the Lesser Antilles, Hispaniola, Haiti and Jamaica"
Egmont Key to Steinhatchee River,"Hurricane Warning from Egmont Key to Steinhatchee River, FL; Storm Surge Warning Bonita Beach to Aucilla River including Tampa Bay; Tropical Storm Warning Flamingo to south of Egmont Key and north of Steinhatchee River to Ochlockonee River, FL"
Egmont Key to Steinhatchee River,"West coast of Florida from Flamingo northward to Ochlockonee River, including Tampa Bay (Tropical Storm and Storm Surge)"
East of Apalachicola to the Aucilla River.,"Tropical Storm Warning from Flamingo to Ochlockonee River, and Storm Surge Warning from Bonita Beach to Aucilla River including Tampa Bay"
Naples to Flamingo,West coast of Florida from Flamingo to Englewood; Florida Keys from Craig Key westward to Dry Tortugas
Cienfuegos to the Dry Tortugas,Tropical Storm Warning in effect only for the Florida Keys from Craig Key westward to the Dry Tortugas (not including Tampa Bay)
Cienfuegos to Port-au-Prince,No Florida west-coast warnings in effect yet; warnings confined to Jamaica and portions of Cuba/Haiti
Jamaica to Dominican Republic,No Florida coastal warnings in effect as of Advisory 14A
Dominican Republic to Saint Lucia,None issued for Florida at the time of this advisory
Dominican Republic to Puerto Rico,Current warnings confined to Hispaniola and Jamaica – none yet for U.S. coastline
Puerto Rico to Dominican Republic,"None in Florida at this time – warnings confined to Barbados, St. Lucia, St. Vincent and Grenadines, Martinique, and the southern coast of Hispaniola"
"25.8N, 83.0W","26.6N, 83.1W"
"24.1N, 82.4W","24.5N, 82.6W"
"22.7N, 81.9W","22.9N, 81.9W"
"21.0N, 79.9W","21.4N, 80.7W"
"19.8N, 77.9W","20.2N, 78.7W"
"18.1N, 75.5W","18.3N, 76.2W"
"17.5N, 73.9W","17.8N, 74.7W"
"16.2N, 69.0W","16.5N, 70.3W"
"14.2N, 63.7W","14.4N, 65.1W"
"12.7N, 58.6W","13.1N, 60.1W"
N,N
NNW,NNW
NW,NW
NW,NW
NW,NW
WNW,WNW
WNW,WNW
WNW,WNW
W,WNW
WNW,WNW
10,14 mph
12,12 mph
14,13 mph
14,14 mph
14,15 mph
14,13 mph
28,23 mph
31,31 mph
30,30 mph
28,28 mph
Florida,"Entire west coast of Florida from Bonita Beach through the Big Bend, including Tampa Bay"
Florida,Entire west coast of Florida including Tampa Bay and the Big Bend region
Florida,Entire west coast of Florida from the Florida Keys northward through the Big Bend
Florida,"Entire Florida west coast from the Keys through the Big Bend, including Tampa Bay"
Florida,"West coast of Florida from Bonita Beach northward to the Suwannee River, including Tampa Bay"
Florida,Entire west coast of Florida from the Keys northward through the Big Bend
Florida,Entire west coast of Florida from the Keys northward to the Big Bend lies within the 5-day forecast cone
Cuba,Florida Keys and the entire west coast of Florida from the Keys northward through the Big Bend region
Jamaica,"Southern Hispaniola, Jamaica, Cuba, then Florida west coast from the Keys through the Big Bend region"
Cuba,Entire west-central Florida coast from Naples northward through Cedar Key including Tampa Bay is inside the day-4/5 uncertainty cone
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
97,97%
82,82%
64,64%
58,58%
41,41%
35,35%
37,24%
34,34%
32,32%
27,27%
61,61%
35,35%
18,18%
17,17%
11,11%
8,8%
9,9%
7,7%
8,8%
8,8%
12,0–6
12,18
24,24
36,48
72,60
72,70
72,72
96,120
96,120
120,120
12,12
24,18
36,30
36,48
72,72
N/A,72
96,96
N/A,120
96,120
N/A,120
97,89%
82,77%
64,47%
58,36%
41,23%
35,24%
37,24%
34,34%
32,32%
27,27%
"A. Tampa Port Authority, FL",A.
"A. Tampa Port Authority, FL",A.
"D. Tampa Port Authority, FL",D.
"C. Tampa Port Authority, FL",C.
"C. Tampa Port Authority, FL",C.
"C. Tampa Port Authority, FL",C.
"C. Tampa Port Authority, FL",C.
"C. Tampa Port Authority, FL",C.
"D. Tampa Port Authority, FL",D.
"B. Tampa Port Authority, FL",B.
Egmont Key to the Steinhatchee River,"Entire west coast of Florida from Bonita Beach through the Big Bend, including Tampa Bay"
Egmont Key to the Steinhatchee River,Entire west coast of Florida including Tampa Bay and the Big Bend region
Florida Keys to west coast of Florida,Entire west coast of Florida from the Florida Keys northward through the Big Bend
Central and western Cuba,"Entire Florida west coast from the Keys through the Big Bend, including Tampa Bay"
Central Cuba to the Florida Straits.,"West coast of Florida from Bonita Beach northward to the Suwannee River, including Tampa Bay"
Jamaica to eastern Cuba,Entire west coast of Florida from the Keys northward through the Big Bend
Jamaica to portions of eastern Cuba,Entire west coast of Florida from the Keys northward to the Big Bend lies within the 5-day forecast cone
Southern coast of Hispaniola to Jamaica.,Florida Keys and the entire west coast of Florida from the Keys northward through the Big Bend region
Eastern Caribbean Sea to Southern Coast of Hispaniola.,"Southern Hispaniola, Jamaica, Cuba, then Florida west coast from the Keys through the Big Bend region"
Windward Islands to southern Leeward Islands.,Entire west-central Florida coast from Naples northward through Cedar Key including Tampa Bay is inside the day-4/5 uncertainty cone
C. Category 1,C.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
C. Category 1,C.
C. Category 1,C.
C. Category 1,C.
"A. Port of Brunswick, GA",B.
"A. Port of Brunswick, GA",B.
"A. Port of Brunswick, GA",B.
"A. Tampa Port Authority, FL",A.
"C. Tampa Port Authority, FL",C.
"C. Tampa Port Authority, FL",C.
"B. Tampa Port Authority, FL",B.
"C. Tampa Port Authority, FL",C.
"B. Tampa Port Authority, FL",B.
"B. Tampa Port Authority, FL",B.
Florida coast.,"Entire west coast of Florida from Bonita Beach through the Big Bend, including Tampa Bay"
Florida coast.,Entire west coast of Florida including Tampa Bay and the Big Bend region
Florida coast.,Entire west coast of Florida from the Florida Keys northward through the Big Bend
Florida coast.,"Entire Florida west coast from the Keys through the Big Bend, including Tampa Bay"
Florida,"West coast of Florida from Bonita Beach northward to the Suwannee River, including Tampa Bay"
Florida,Entire west coast of Florida from the Keys northward through the Big Bend
Florida,Entire west coast of Florida from the Keys northward to the Big Bend lies within the 5-day forecast cone
Florida,Florida Keys and the entire west coast of Florida from the Keys northward through the Big Bend region
Florida,"Southern Hispaniola, Jamaica, Cuba, then Florida west coast from the Keys through the Big Bend region"
Florida,Entire west-central Florida coast from Naples northward through Cedar Key including Tampa Bay is inside the day-4/5 uncertainty cone
9,12
21,24
21,42
45,42
60,60
66,66
None,66
66,96
21,96
45,115
21,12
36,24
33,36
60,48
None,72
72,78
None,24
96,120
96,120
96,24
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,C.
C. 13-24 hours,C.
C. 13-24 hours,C.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,C.
C. 13-24 hours,B.
C. 13-24 hours,B.
B. 12-24 Hours,A.
B. 12-24 Hours,B.
C. 24-48 hours,B.
C,C.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,Yes
A. 0 hours,A.
