response,ground_truth
No.,No
No.,No
A,A.
A,A.
A,A.
A,A.
None,None
None,None for Indiana; tropical storm watch/watch area not issued. (Texas coast only).
None,"Baffin Bay to High Island, Texas"
None,"Tropical Storm Warning from Baffin Bay to High Island, Texas"
"27.6N, 95.3W","27.9N, 95.7W"
"27.1N, 94.2W","27.1N, 94.2W"
NW,NW
NW,NW
13,13 mph
12,12 mph
"Texas
Louisiana",Central and upper Texas coast; western Louisiana coast
"Texas

Louisiana",Texas coast and adjacent western Louisiana shoreline
GFMX 280N 950W,
GFMX 280N 910W,None
X,0%
0,0%
0,0%
0,0%
N/A,
N/A,N/A
N/A,
N/A,N/A
N/A,0%
N/A,0%
C,A.
D,C.
Baffin Bay to High Island Texas,Central and upper Texas coast; western Louisiana coast
Baffin Bay to High Island,Texas coast and adjacent western Louisiana shoreline
B,B.
B. Tropical Storm,B.
B,A.
D,B.
Louisiana,Central and upper Texas coast; western Louisiana coast
Louisiana Coast,Texas coast and adjacent western Louisiana shoreline
18,≈6
24,10
None,
None,N/A
B,D.
B,D.
A,A.
A,A.
"The table does not contain any probabilities for Northern Indiana District, IN. Thus, it is not possible to answer this question with the given data.

A. 0-12 hours",A.
"This forecast does not list Northern Indiana District, IN, therefore the answer is:

A",A.
No.,No
No,No
C. 24-48 hours,A.
A,A.
48,≈6
168,10
D,B.
D.,D.
B,B.
B,B.
A,B.
B,B.
Tornadoes will be possible,None
Tornadoes are possible due to the outer bands of the storm.,None
"```json
{
  ""gale_probability"": {
    ""in 12h"": 32,
    ""in 24h"": 21,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 28,
    ""in 24h"": 30,
    ""in 48h"": 61,
    ""in 72h"": 77,
    ""in 96h"": 77
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"Tropical Storm Bill is expected to make landfall in Texas and move inland, primarily affecting Texas, Oklahoma, and Arkansas. The impacts on Northern Indiana District, IN, are not directly mentioned in the advisories. However, the storm is forecasted to weaken significantly after landfall and move northeastward.

Given the storm's track and the typical weather patterns, significant impacts on freight in Northern Indiana are not expected until the storm has dissipated or moved far enough away. Therefore, the expected start of impact on freight at Northern Indiana District, IN, would likely be after the storm's primary effects have subsides.

Based on the advisories, the storm is expected to weaken by the evening of 16th June 2015. Therefore, any indirect impacts on freight in Northern Indiana would likely start after this date.

17-06-2015",None
"Tropical Storm Bill is not expected to impact Northern Indiana District, IN.",None
"The provided information does not include specific details about the predicted peak impact on freight at the Northern Indiana District, IN. Therefore, I cannot provide a date for the predicted peak impact based on the given data.",None
"Based on the provided information, Tropical Storm Bill is expected to make landfall on June 16, 2015, and move inland. The impact on freight at Northern Indiana District, IN would likely be influenced by the storm's trajectory and the timing of its effects. Given that the storm is moving northwestward and is expected to affect eastern Texas and Oklahoma primarily, the direct impact on Northern Indiana would be minimal and delayed.

Therefore, the predicted peak impact on freight at Northern Indiana District, IN would not be significant and would likely occur around:

17-06-2015",None
"The provided information does not include specific details about the expected end of impact on freight at the Northern Indiana District, IN. Therefore, I cannot provide a specific date based on the given data.",None
20-06-2015,None
2,0
5,0
1,None
2,None
0,None
X,None
A. None,A.
A. None,A.
