response,ground_truth
No,Yes
B,A.
A,A.
Florida to Louisiana,None
Florida to Louisiana,None
"25.6N, 94.4W","25.6N, 94.4W"
N,N
16,16 mph
Louisiana,Northern Gulf Coast from southeast Texas across Louisiana and Mississippi
NEW ORLEANS LA,NEW ORLEANS LA
6,6%
0,<1%
120,9
N/A,N/A
18,6%
A,A.
Louisiana,Northern Gulf Coast from southeast Texas across Louisiana and Mississippi
A,A.
A,A.
Louisiana,Northern Gulf Coast from southeast Texas across Louisiana and Mississippi
120,16
12,24
B,D.
D,B.
D,B.
No,No
C,B.
12,16
B,B.
B,B.
B,C.
Tornadoes are possible across southeast portions of Louisiana and Mississippi into southwest Alabama.,Isolated tornadoes Friday night; lightning and squalls could halt cargo handling
"{
  ""gale_probability"": {
    ""in 12h"": ""10"",
    ""in 24h"": ""15"",
    ""in 48h"": ""22"",
    ""in 72h"": ""22"",
    ""in 96h"": ""22""
  }
}","{'in 12h': '0%', 'in 24h': '6%', 'in 48h': '6%', 'in 72h': '6%', 'in 96h': '6%'}"
25-10-2019,None
29-10-2019,None
30-10-2019,None
2,0
0,None
None,None
B. 1-10 vessels,A.
